Fight Number	Name 1	Last Name 1	First Name 1	Yuko 1	Wazaari 1	Ippon 1	Shido 1	HSM 1	Score 1	Subscore 1	Name 2	Last Name 2	First Name 2	Yuko 2	Wazaari 2	Ippon 2	Shido 2	HSM 2	Score 2	Subscore 2	Source
9		RUTZENSTORFER	Philipp	0	0	0	0	0	0	0		HOFMANN	Nico	0	0	1	0	0	1	10	
10		FROSCHAUER	Alexander	0	0	0	0	0	0	0		SCHNEIDER	Rene	2	2	0	0	0	1	10	
11		ZEHETNER	Jan	0	0	0	0	1	0	0		WARTBICHLER	Hannes	0	0	0	0	0	1	10	
12		OSTASZEWSKI	Dominik	0	1	1	0	0	1	10		SCHIRNHOFER	Felix	0	0	0	0	0	0	0	
13		JURCIK	Pavol	0	0	0	0	0	0	0		KRONBERGER	Christoph	0	0	1	0	0	1	10	
14		RANDL	Milan	0	0	0	0	0	0	0		KRONBERGER	Stefan	0	0	0	1	0	0	0	
1		ZEHENTNER	David	0	0	0	1	0	0	0		GARBACIK	Bartek	1	2	0	0	0	1	10	
2		MITTERFELLNER	Andreas	1	0	0	0	0	0	0		STADLBAUER	Christian	1	0	0	0	0	0	0	
3		WIMBERGER	Markus	0	0	0	0	0	0	0		SLATNER	Raphael	0	0	1	0	0	1	10	
4		RIESS	Christian	0	0	0	0	0	0	0		ZACHAR	Christian	0	0	1	0	0	1	10	
5		HÖLLWART	Hermann	0	0	0	0	1	0	0		RADLHERR	Christoph	0	0	0	0	0	1	10	
6		MAYER	Christoph	1	0	0	1	0	0	0		FILEK	Rafal	0	0	1	2	0	1	10	
7		PIRCHNER	Christian	0	0	0	0	0	0	0		PRENTNER	Clemens	0	0	1	0	0	1	10	
8		ZEHENTNER	David	0	0	0	0	0	0	0		GARBACIK	Bartek	1	2	0	0	0	1	10	
9		MITTERFELLNER	Andreas	1	0	0	1	0	1	5		STADLBAUER	Christian	0	0	0	2	0	0	0	
10		WIMBERGER	Markus	0	0	1	0	0	1	10		SLATNER	Raphael	1	0	0	0	0	0	0	
11		HÖLLWART	Hermann	0	0	0	0	0	0	0		ZACHAR	Christian	0	0	0	0	0	0	0	
12		ASCHABER	Anton	0	0	0	1	0	0	0		RADLHERR	Christoph	1	0	0	1	0	1	5	
13		MAYER	Christoph	0	0	0	1	0	0	0		FILEK	Rafal	1	0	0	1	0	1	5	
14		PIRCHNER	Christian	0	0	0	0	0	0	0		PRENTNER	Clemens	0	0	1	0	0	1	10	
1		TIEFGRABER	Andreas	0	0	1	0	0	1	10		HIRLET	Florin	0	0	0	0	0	0	0	
2		VOGEL	Amin	0	0	0	0	0	0	0		WEICHINGER	Alexander	1	0	1	0	0	1	10	
3		PFEIFFER	Johannes	0	0	0	0	0	0	0		OTT	Marcel	0	2	0	0	0	1	10	
4		HALAS	Marian	0	0	1	0	0	1	10		KUCIARA	Stefan	0	0	0	0	0	0	0	
5		KRONSCHLÄGER	Florian	0	0	0	2	0	0	0		REICHMANN	Manuel	1	0	0	1	0	1	5	
6		MATEI	Daniel	1	0	1	1	0	1	10		GEIER	Gabor	0	0	0	1	0	0	0	
7		FURCH	Lukas	0	0	0	0	0	0	0		BRATA	Daniel	0	0	1	0	0	1	10	
8		TIEFGRABER	Andreas	0	0	0	0	0	0	0		HIRLET	Florin	0	0	1	0	0	1	10	
9		VOGEL	Amin	0	0	0	0	0	0	0		WEICHINGER	Alexander	0	0	1	0	0	1	10	
10		PFEIFFER	Johannes	0	0	0	0	0	0	0		OTT	Marcel	1	1	1	0	0	1	10	
11		HALAS	Marian	0	0	1	0	0	1	10		HAASMANN	Nick	0	0	0	0	0	0	0	
12		KRONSCHLÄGER	Florian	0	1	0	2	0	0	0		REICHMANN	Manuel	2	0	1	0	0	1	10	
13		MATEI	Daniel	0	0	1	1	0	1	10		GEIER	Gabor	0	0	0	0	0	0	0	
14		FURCH	Lukas	0	0	0	0	0	0	0		BRATA	Daniel	0	0	1	0	0	1	10	
1		PÜHRINGER	Reinhold	0	0	0	0	0	0	0		PASOLLI	Ivo	0	0	0	1	0	0	0	
2		SHALA	Driton	0	0	1	0	0	1	10				0	0	0	0	0	0	0	
3		SCHARINGER	Peter	0	0	1	1	0	1	10		STEINICKE	Alexander	0	0	0	0	0	0	0	
4		SCHAUBMAYR	Rene	0	0	0	0	0	1	10				0	0	0	0	0	0	0	
5		FERCHER	Albert	0	0	1	0	0	1	10		IMRE	Lehel	0	0	0	1	0	0	0	
6		JURECKA	Alexandr	0	0	1	0	0	1	10		LINDNER	Florian	0	0	0	0	0	0	0	
7		ALLERSTORFER	Daniel	0	1	0	0	0	1	7		FARKAS	Balint	1	0	0	0	0	0	0	
8		EDER	Valentin	0	0	1	0	0	1	10				0	0	0	0	0	0	0	
9		PÜHRINGER	Reinhold	0	0	0	0	0	0	0		PASOLLI	Ivo	0	0	1	0	0	1	10	
10		SHALA	Driton	2	1	1	0	0	1	10		STEINICKE	Alexander	0	0	0	0	0	0	0	
11		SCHAUBMAYR	Rene	0	0	1	0	0	1	10				0	0	0	0	0	0	0	
12		FERCHER	Albert	0	0	1	0	0	1	10		IMRE	Lehel	0	0	0	1	0	0	0	
13		JURECKA	Alexandr	0	0	1	1	0	1	10		FARKAS	Balint	0	0	0	1	0	0	0	
14		ALLERSTORFER	Daniel	0	1	0	2	0	1	7		LINDNER	Florian	1	0	0	1	0	0	0	
1		PASOLLI	Ivo	0	0	0	0	0	0	0		HÖDL	Manuel	0	0	0	1	0	0	0	
2		IVINGER	Erich	0	0	1	0	0	1	10		LANG	Dominik	0	0	0	1	0	0	0	
3		GRASSMAIR	Severin	0	0	0	0	0	0	0		OSSIASCHWILI	Georgi	0	0	0	1	0	0	0	
4		ANGERER	Stefan	1	0	0	0	0	0	0		MARIJANOVIC	Tomislav	0	1	1	2	0	1	10	
5		GERMROTH	Florian	1	0	1	0	0	1	10		RIBITSCH	Stephan	0	0	0	1	0	0	0	
6		IMRE	Lehel	0	0	0	0	0	0	0		ACKERL	Philipp	0	0	0	0	0	0	0	
7		LINDNER	Florian	0	0	0	0	0	0	0		KRPALEK	Lukas	0	0	1	0	0	1	10	
8		PASOLLI	Ivo	1	1	1	1	0	1	10		HÖDL	Manuel	0	0	0	1	0	0	0	
9		IVINGER	Erich	0	0	1	0	0	1	10		LANG	Dominik	0	0	0	0	0	0	0	
10		GRASSMAIR	Severin	0	0	0	2	0	0	0		RIBITSCH	Stephan	1	0	0	0	0	1	5	
11		ANGERER	Stefan	0	0	0	0	0	0	0		OSSIASCHWILI	Georgi	1	0	0	1	0	1	5	
12		GERMROTH	Florian	0	0	0	0	0	0	0		MARIJANOVIC	Tomislav	0	0	1	0	0	1	10	
13		IMRE	Lehel	0	0	0	0	0	0	0		KRPALEK	Lukas	0	0	1	0	0	1	10	
14		LINDNER	Florian	1	0	0	0	0	1	5		BERTAGNOLI	Martin	0	0	0	2	0	0	0	
1		HIRLET	Florin	0	2	0	0	0	1	10		FISCHTHALLER	Dominik	0	0	0	0	0	0	0	
2		WEICHINGER	Alexander	0	0	1	0	0	1	10		WALDHÖR	Dominik	0	0	0	0	0	0	0	
3		HAASMANN	Nick	2	0	0	0	0	1	5		FROSCHAUER	Alexander	0	0	0	1	0	0	0	
4		OTT	Marcel	0	0	1	0	0	1	10		OSTASZEWSKI	Karol	1	0	0	0	0	0	0	
5		REICHMANN	Manuel	0	0	1	0	0	1	10		OSTASZEWSKI	Dominik	0	0	0	0	0	0	0	
6		GEIER	Gabor	0	0	1	0	0	1	10		HELM	Manuel	0	0	0	0	0	0	0	
7		BRATA	Daniel	0	0	1	0	0	1	10				0	0	0	0	0	0	0	
8		KUDERA	Stefan	0	0	1	0	0	1	10		FISCHTHALLER	Dominik	0	0	0	0	0	0	0	
9		HACKL	Florian	1	1	0	0	0	0	0		WALDHÖR	Dominik	1	1	0	0	0	0	0	
10		WEICHINGER	Alexander	0	0	1	0	0	1	10		FROSCHAUER	Alexander	0	0	0	0	0	0	0	
11		PACHER	Johannes	0	0	0	1	0	0	0		HELM	Manuel	1	1	1	0	0	1	10	
12		REICHMANN	Manuel	0	1	1	0	0	1	10		OSTASZEWSKI	Karol	0	0	0	0	0	0	0	
13		OTT	Marcel	0	0	1	0	0	1	10		OSTASZEWSKI	Dominik	0	0	0	0	0	0	0	
14		BRATA	Daniel	0	0	1	0	0	1	10				0	0	0	0	0	0	0	
1		HOFMANN	Lukas	0	0	1	0	0	1	10		ZEHENTNER	David	0	0	0	0	0	0	0	
2		STEGMUELLER	Roland	0	2	0	0	0	1	10		POLIAK	Matej	0	0	0	0	0	0	0	
3		SCHNEIDER	Rene	0	0	0	0	0	0	0		MITTERFELLNER	Andreas	2	1	0	0	0	1	7	
4		SCHIRNHOFER	Felix	1	0	0	2	0	0	0		HÖLLWART	Hermann	1	0	1	2	0	1	10	
5		STERNER	Thomas	1	2	0	0	0	1	10		ASCHABER	Anton	0	0	0	0	0	0	0	
6		KRONBERGER	Christoph	1	0	1	1	0	1	10		DUM	Alois	0	0	0	0	0	0	0	
7		KRONBERGER	Stefan	0	0	1	0	0	1	10		DUMKE	Robert	1	0	0	0	0	0	0	
8		PRASCHL	Johannes	0	0	0	0	0	0	0		ZEHENTNER	David	0	0	1	0	0	1	10	
9		STEGMUELLER	Roland	0	0	1	0	0	1	10		POLIAK	Matej	0	1	0	0	0	0	0	
10		SCHNEIDER	Rene	0	1	0	2	0	1	7		MITTERFELLNER	Andreas	1	0	0	0	0	0	0	
11		SCHIRNHOFER	Felix	1	0	0	0	0	0	0		HÖLLWART	Hermann	1	1	0	2	0	1	7	
12		STERNER	Thomas	0	0	0	0	0	0	0		DUMKE	Robert	2	0	1	1	0	1	10	
13		KRONBERGER	Stefan	1	1	1	0	0	1	10		ASCHABER	Anton	0	0	0	1	0	0	0	
14		KRONBERGER	Christoph	0	0	1	0	0	1	10		DUM	Alois	0	0	0	0	0	0	0	
1		GARBACIK	Bartek	0	0	1	0	0	1	10		WEIDLINGER	Lukas	0	0	0	0	0	0	0	
2		STADLBAUER	Christian	0	1	1	0	0	1	10		MUSSNIG	Daniel	0	0	0	0	0	0	0	
