Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country	Gastkämpfer
59	Markus	Wimberger	Judo Union Raika Pinzgau	-73 kg	3	30	3	0	3	0	10	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
60	Vladut	Simionescu	Volksbank Galaxy Judo Tigers	+100 kg	3	30	3	0	2	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
61	Randolf	Stangl	PSV Salzburg	-81 kg	3	30	3	0	2	0	9	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
62	Mathias	Huemer	UJZ Mühlviertel 1	-60 kg	3	30	3	0	1	0	9	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
63	Yannick	Gutsche	Judoteam SHIAI-DO Union Thermenregion 1	-90 kg	3	30	3	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Germany	Germany	
64	Alexander	Weichinger	Volksbank Galaxy Judo Tigers	-66 kg	3	30	2	3	3	0	9	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
65	Alois	Dum	Judo Union Raika Pinzgau	-100 kg	3	30	2	2	2	0	9	2	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
66	Bernhard	Mayr	Judo Union Raiffeisen Flachgau	-73 kg	3	30	2	0	1	0	12	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
67	Rainer	Binder	UJZ Mühlviertel 1	-90 kg	3	30	1	2	2	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
68	Christian	Stadlbauer	cafe+co Vienna Samurai 1	-66 kg	3	27	2	2	4	0	16	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
69	Shamil	Borchashvili	Multikraft Wels	-73 kg	3	22	1	1	1	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
70	Michael	Winkler	Multikraft Wels	-66 kg	3	21	2	0	1	0	19	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
71	Martin	Wess	Judoteam SHIAI-DO Union Thermenregion 1	-73 kg	3	21	2	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
72	Georgii	Zantaraia	Judo Union Raiffeisen Flachgau	-66 kg	3	21	2	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
73	Marcus	Eder	Multikraft Wels	-100 kg	2	20	2	2	0	0	9	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
74	Steffen	Wagner	Judo Union Raiffeisen Flachgau	-81 kg	2	20	2	1	0	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
75	Miklos	Ungvari	cafe+co Vienna Samurai 1	-73 kg	2	20	2	0	3	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary	
76	Matthias-Clemens	Gärtner	Judoteam SHIAI-DO Union Thermenregion 1	-60 kg	2	20	2	0	3	0	15	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
77	Peter	Scharinger	UJZ Mühlviertel 1	-81 kg	2	20	2	0	2	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
78	Simon	Hofer	UJZ Mühlviertel 1	-73 kg	2	20	2	0	1	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
79	Michael	Krautsack	Judoteam SHIAI-DO Union Thermenregion 1	-66 kg	2	20	2	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
80	Ludwig	Paischer	Judo Union Raiffeisen Flachgau	-66 kg	2	20	2	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
81	Alexandr	Jurecka	UJZ Mühlviertel 1	-100 kg	2	20	2	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Czechia	Czechia	
82	Thomas	Sterner	Judo Union Raiffeisen Flachgau	-100 kg	2	20	1	3	3	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
83	Tobias	Windbichler	PSV Salzburg	-66 kg	2	20	1	2	4	0	11	2	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
84	Johannes	Pfeiffer	PSV Salzburg	-73 kg	2	20	1	0	1	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
85	Lukas	Weidlinger	PSV Salzburg	-60 kg	2	20	1	0	1	0	9	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
86	Matjaz	Ceraj	Volksbank Galaxy Judo Tigers	+100 kg	2	20	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovenia	Slovenia	
87	Michal	Krpalek	UJZ Mühlviertel 1	-100 kg	2	20	1	0	0	0	9	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Czechia	Czechia	
88	Bence	Zambori	cafe+co Vienna Samurai 1	-66 kg	2	20	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary	
89	Christoph	Radlherr	cafe+co Vienna Samurai 1	-100 kg	2	20	0	0	1	0	10	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
90	Christoph	Mayer	Judo Union Raika Pinzgau	-100 kg	2	17	1	2	1	0	17	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
91	Albert	Fercher	UJZ Mühlviertel 1	-81 kg	2	17	1	1	4	0	19	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
92	Komronshoh	Ustopiriyon	Judoteam SHIAI-DO Union Thermenregion 1	-100 kg	2	17	1	1	3	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
93	Toma	Nikiforov	UJZ Mühlviertel 1	-100 kg	2	17	1	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Belgium	Belgium	
94	Adrian	Gomboc	SU Noricum Raiffeisenbank Leibnitz Judo	-66 kg	2	15	1	1	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovenia	Slovenia	
95	Florian	Kronschläger	PSV Salzburg	-100 kg	2	15	1	0	1	0	21	2	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
96	Bernhard	Weißsteiner	cafe+co Vienna Samurai 1	-73 kg	2	15	0	0	5	0	16	2	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
97	Stefan	Kuciara	Volksbank Galaxy Judo Tigers	-90 kg	2	11	1	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
98	Michael	Mayr	Judo Union Raiffeisen Flachgau	-73 kg	1	10	1	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
99	Marc	Grasmugg	SU Noricum Raiffeisenbank Leibnitz Judo	-73 kg	1	10	1	1	0	0	6	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
100	Philipp	Popp	SU Noricum Raiffeisenbank Leibnitz Judo	-100 kg	1	10	1	1	0	0	14	2	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
101	Tarik	Cehajic	PSV Salzburg	-81 kg	1	10	1	0	3	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
102	Mathias	Czizsek	Volksbank Galaxy Judo Tigers	-66 kg	1	10	1	0	1	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
103	Patrick	Martincevic	PSV Salzburg	-90 kg	1	10	1	0	1	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
104	Christoph	Wilhelm	Judoteam SHIAI-DO Union Thermenregion 1	-90 kg	1	10	1	0	1	0	15	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
105	Alexander	Froschauer	Judo Union Raiffeisen Flachgau	-73 kg	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
105	Lukas	Hofmann	Judo Union Raiffeisen Flachgau	-60 kg	1	10	1	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
107	Valentin	Eder	UJZ Mühlviertel 1	-60 kg	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
108	Florian	Donner	cafe+co Vienna Samurai 1	-66 kg	1	10	1	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
109	Christoph	Stangl	Judo Union Raiffeisen Flachgau	-81 kg	1	10	0	2	2	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
110	Christoph	Hofer	UJZ Mühlviertel 1	-73 kg	1	10	0	2	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
111	Christoph	Jirik	Judoteam SHIAI-DO Union Thermenregion 1	+100 kg	1	10	0	2	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
112	Daniel	Matei	PSV Salzburg	-100 kg	1	10	0	2	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Romania	Romania	
113	Gregor	Liebenberger	Multikraft Wels	-81 kg	1	7	0	1	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
114	Fabian	Dengg	Judoteam SHIAI-DO Union Thermenregion 1	-73 kg	1	7	0	1	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
115	Alexander	Hauch	PSV Salzburg	-66 kg	1	5	0	0	4	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
116	Sebastian	Schneider	Volksbank Galaxy Judo Tigers	-90 kg	1	1	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
117	Christopher	Wagner	Volksbank Galaxy Judo Tigers	-73 kg	1	1	0	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
118	Philipp	Mükisch	Judo Union Raiffeisen Flachgau	-81 kg	0	0	0	1	3	0	3	2	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
119	Driton	Shala	UJZ Mühlviertel 1	-73 kg	0	0	0	1	2	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
120	Florian	Hackl	Volksbank Galaxy Judo Tigers	-81 kg	0	0	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
120	Thomas	Groiß	UJZ Mühlviertel 1	-100 kg	0	0	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
